Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SOMO
BREAST TISSUE,GBC,F1,3.0,4.0,1.0,2.0
BREAST TISSUE,GBC,GEOMETRIC MEAN SCORE,3.0,4.0,1.0,2.0
EUCALYPTUS (3),LR,ROC AUC,4.0,1.0,2.0,3.0
EUCALYPTUS (3),LR,F1,4.0,3.0,2.0,1.0
EUCALYPTUS (3),LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
EUCALYPTUS (3),KNN,ROC AUC,4.0,3.0,2.0,1.0
EUCALYPTUS (3),KNN,F1,4.0,1.0,3.0,2.0
EUCALYPTUS (3),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
EUCALYPTUS (3),DT,ROC AUC,3.0,4.0,1.0,2.0
EUCALYPTUS (3),DT,F1,4.0,2.0,3.0,1.0
EUCALYPTUS (3),DT,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
EUCALYPTUS (3),GBC,ROC AUC,2.0,4.0,3.0,1.0
EUCALYPTUS (3),GBC,F1,4.0,3.0,2.0,1.0
EUCALYPTUS (3),GBC,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
MANDELON 2,LR,ROC AUC,2.0,4.0,3.0,1.0
MANDELON 2,LR,F1,4.0,3.0,2.0,1.0
MANDELON 2,LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
MANDELON 2,KNN,ROC AUC,3.0,2.0,4.0,1.0
MANDELON 2,KNN,F1,4.0,2.0,3.0,1.0
MANDELON 2,KNN,GEOMETRIC MEAN SCORE,3.0,2.0,4.0,1.0
MANDELON 2,DT,ROC AUC,4.0,3.0,1.0,2.0
MANDELON 2,DT,F1,4.0,3.0,1.0,2.0
MANDELON 2,DT,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
MANDELON 2,GBC,ROC AUC,4.0,3.0,2.0,1.0
MANDELON 2,GBC,F1,4.0,2.0,1.0,3.0
MANDELON 2,GBC,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
WINE (2),LR,ROC AUC,3.0,4.0,2.0,1.0
WINE (2),LR,F1,2.0,4.0,3.0,1.0
WINE (2),LR,GEOMETRIC MEAN SCORE,2.0,4.0,3.0,1.0
WINE (2),KNN,ROC AUC,2.0,4.0,3.0,1.0
WINE (2),KNN,F1,2.0,4.0,3.0,1.0
WINE (2),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
WINE (2),DT,ROC AUC,4.0,2.0,3.0,1.0
WINE (2),DT,F1,4.0,2.0,3.0,1.0
WINE (2),DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
WINE (2),GBC,ROC AUC,4.0,3.0,2.0,1.0
WINE (2),GBC,F1,4.0,2.0,3.0,1.0
WINE (2),GBC,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
YEAST 4 (2),LR,ROC AUC,2.0,4.0,3.0,1.0
YEAST 4 (2),LR,F1,4.0,3.0,2.0,1.0
YEAST 4 (2),LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
YEAST 4 (2),KNN,ROC AUC,4.0,3.0,1.0,2.0
YEAST 4 (2),KNN,F1,4.0,3.0,2.0,1.0
YEAST 4 (2),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
YEAST 4 (2),DT,ROC AUC,3.0,4.0,2.0,1.0
YEAST 4 (2),DT,F1,4.0,2.0,3.0,1.0
YEAST 4 (2),DT,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
YEAST 4 (2),GBC,ROC AUC,2.0,4.0,3.0,1.0
YEAST 4 (2),GBC,F1,3.0,4.0,2.0,1.0
YEAST 4 (2),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
HEART (2),LR,ROC AUC,2.0,4.0,3.0,1.0
HEART (2),LR,F1,4.0,3.0,2.0,1.0
HEART (2),LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
HEART (2),KNN,ROC AUC,2.0,4.0,3.0,1.0
HEART (2),KNN,F1,4.0,2.0,3.0,1.0
HEART (2),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
HEART (2),DT,ROC AUC,3.0,1.0,4.0,2.0
HEART (2),DT,F1,3.0,4.0,2.0,1.0
HEART (2),DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
HEART (2),GBC,ROC AUC,4.0,3.0,2.0,1.0
HEART (2),GBC,F1,4.0,3.0,2.0,1.0
HEART (2),GBC,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
WINE (3),LR,ROC AUC,4.0,3.0,2.0,1.0
WINE (3),LR,F1,4.0,2.5,2.5,1.0
WINE (3),LR,GEOMETRIC MEAN SCORE,4.0,2.5,2.5,1.0
WINE (3),KNN,ROC AUC,3.0,4.0,2.0,1.0
WINE (3),KNN,F1,2.0,4.0,3.0,1.0
WINE (3),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
WINE (3),DT,ROC AUC,4.0,2.0,3.0,1.0
WINE (3),DT,F1,2.0,3.0,4.0,1.0
WINE (3),DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
WINE (3),GBC,ROC AUC,3.0,4.0,2.0,1.0
WINE (3),GBC,F1,2.0,4.0,3.0,1.0
WINE (3),GBC,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
LIVER (3),LR,ROC AUC,4.0,3.0,2.0,1.0
LIVER (3),LR,F1,4.0,3.0,2.0,1.0
LIVER (3),LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
LIVER (3),KNN,ROC AUC,3.0,4.0,2.0,1.0
LIVER (3),KNN,F1,4.0,3.0,2.0,1.0
LIVER (3),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
LIVER (3),DT,ROC AUC,2.0,4.0,3.0,1.0
LIVER (3),DT,F1,4.0,3.0,2.0,1.0
LIVER (3),DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
LIVER (3),GBC,ROC AUC,3.0,4.0,2.0,1.0
LIVER (3),GBC,F1,3.0,4.0,2.0,1.0
LIVER (3),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
LIVER,LR,ROC AUC,3.0,4.0,2.0,1.0
LIVER,LR,F1,4.0,3.0,2.0,1.0
LIVER,LR,GEOMETRIC MEAN SCORE,2.0,4.0,3.0,1.0
LIVER,KNN,ROC AUC,4.0,2.0,3.0,1.0
LIVER,KNN,F1,4.0,3.0,2.0,1.0
LIVER,KNN,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
LIVER,DT,ROC AUC,4.0,3.0,2.0,1.0
LIVER,DT,F1,4.0,3.0,2.0,1.0
LIVER,DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
LIVER,GBC,ROC AUC,3.0,4.0,2.0,1.0
LIVER,GBC,F1,4.0,3.0,2.0,1.0
LIVER,GBC,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
VOWEL (3),LR,ROC AUC,4.0,1.0,2.0,3.0
VOWEL (3),LR,F1,2.0,4.0,3.0,1.0
VOWEL (3),LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
VOWEL (3),KNN,ROC AUC,4.0,3.0,1.0,2.0
VOWEL (3),KNN,F1,4.0,2.0,1.0,3.0
VOWEL (3),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
VOWEL (3),DT,ROC AUC,4.0,2.0,3.0,1.0
VOWEL (3),DT,F1,2.0,3.0,4.0,1.0
VOWEL (3),DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
VOWEL (3),GBC,ROC AUC,4.0,2.0,3.0,1.0
VOWEL (3),GBC,F1,2.0,3.0,4.0,1.0
VOWEL (3),GBC,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
DERMATOLOGY,LR,ROC AUC,2.5,2.5,2.5,2.5
DERMATOLOGY,LR,F1,4.0,2.5,2.5,1.0
DERMATOLOGY,LR,GEOMETRIC MEAN SCORE,4.0,2.5,2.5,1.0
DERMATOLOGY,KNN,ROC AUC,2.5,2.5,4.0,1.0
DERMATOLOGY,KNN,F1,1.5,3.5,3.5,1.5
DERMATOLOGY,KNN,GEOMETRIC MEAN SCORE,2.0,3.5,3.5,1.0
DERMATOLOGY,DT,ROC AUC,3.0,3.0,3.0,1.0
DERMATOLOGY,DT,F1,3.0,3.0,3.0,1.0
DERMATOLOGY,DT,GEOMETRIC MEAN SCORE,3.0,3.0,3.0,1.0
DERMATOLOGY,GBC,ROC AUC,3.0,3.0,3.0,1.0
DERMATOLOGY,GBC,F1,3.0,3.0,3.0,1.0
DERMATOLOGY,GBC,GEOMETRIC MEAN SCORE,3.0,3.0,3.0,1.0
WINE,LR,ROC AUC,3.0,4.0,2.0,1.0
WINE,LR,F1,3.0,4.0,2.0,1.0
WINE,LR,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
WINE,KNN,ROC AUC,2.0,4.0,3.0,1.0
WINE,KNN,F1,2.0,3.0,4.0,1.0
WINE,KNN,GEOMETRIC MEAN SCORE,2.0,3.0,4.0,1.0
WINE,DT,ROC AUC,3.0,4.0,2.0,1.0
WINE,DT,F1,3.0,2.0,4.0,1.0
WINE,DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
WINE,GBC,ROC AUC,2.0,3.0,4.0,1.0
WINE,GBC,F1,4.0,3.0,2.0,1.0
WINE,GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
MANDELON 1 (2),LR,ROC AUC,1.5,3.0,4.0,1.5
MANDELON 1 (2),LR,F1,4.0,3.0,2.0,1.0
MANDELON 1 (2),LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
MANDELON 1 (2),KNN,ROC AUC,3.0,4.0,1.0,2.0
MANDELON 1 (2),KNN,F1,4.0,3.0,1.0,2.0
MANDELON 1 (2),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
MANDELON 1 (2),DT,ROC AUC,2.0,3.0,4.0,1.0
MANDELON 1 (2),DT,F1,2.0,4.0,3.0,1.0
MANDELON 1 (2),DT,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
MANDELON 1 (2),GBC,ROC AUC,2.0,3.0,4.0,1.0
MANDELON 1 (2),GBC,F1,2.0,3.0,4.0,1.0
MANDELON 1 (2),GBC,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
YEAST 5 (2),LR,ROC AUC,4.0,2.0,3.0,1.0
YEAST 5 (2),LR,F1,4.0,2.0,3.0,1.0
YEAST 5 (2),LR,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
YEAST 5 (2),KNN,ROC AUC,4.0,3.0,1.0,2.0
YEAST 5 (2),KNN,F1,4.0,3.0,1.0,2.0
YEAST 5 (2),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
YEAST 5 (2),DT,ROC AUC,4.0,3.0,2.0,1.0
YEAST 5 (2),DT,F1,3.0,4.0,2.0,1.0
YEAST 5 (2),DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
YEAST 5 (2),GBC,ROC AUC,3.0,2.0,4.0,1.0
YEAST 5 (2),GBC,F1,4.0,3.0,2.0,1.0
YEAST 5 (2),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
NEW THYROID 1 (2),LR,ROC AUC,2.5,2.5,2.5,2.5
NEW THYROID 1 (2),LR,F1,1.5,3.5,3.5,1.5
NEW THYROID 1 (2),LR,GEOMETRIC MEAN SCORE,4.0,2.5,2.5,1.0
NEW THYROID 1 (2),KNN,ROC AUC,4.0,3.0,2.0,1.0
NEW THYROID 1 (2),KNN,F1,4.0,3.0,2.0,1.0
NEW THYROID 1 (2),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
NEW THYROID 1 (2),DT,ROC AUC,4.0,2.0,3.0,1.0
NEW THYROID 1 (2),DT,F1,4.0,2.0,3.0,1.0
NEW THYROID 1 (2),DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
NEW THYROID 1 (2),GBC,ROC AUC,4.0,3.0,2.0,1.0
NEW THYROID 1 (2),GBC,F1,3.0,4.0,2.0,1.0
NEW THYROID 1 (2),GBC,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
YEAST 3 (3),LR,ROC AUC,4.0,3.0,2.0,1.0
YEAST 3 (3),LR,F1,4.0,3.0,2.0,1.0
YEAST 3 (3),LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
YEAST 3 (3),KNN,ROC AUC,3.0,4.0,2.0,1.0
YEAST 3 (3),KNN,F1,4.0,2.0,3.0,1.0
YEAST 3 (3),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
YEAST 3 (3),DT,ROC AUC,4.0,2.0,3.0,1.0
YEAST 3 (3),DT,F1,2.0,3.0,4.0,1.0
YEAST 3 (3),DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
YEAST 3 (3),GBC,ROC AUC,2.0,4.0,3.0,1.0
YEAST 3 (3),GBC,F1,4.0,3.0,2.0,1.0
YEAST 3 (3),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
PIMA (3),LR,ROC AUC,4.0,1.0,2.0,3.0
PIMA (3),LR,F1,4.0,2.0,1.0,3.0
PIMA (3),LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
PIMA (3),KNN,ROC AUC,3.0,4.0,2.0,1.0
PIMA (3),KNN,F1,4.0,3.0,2.0,1.0
PIMA (3),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
PIMA (3),DT,ROC AUC,4.0,2.0,3.0,1.0
PIMA (3),DT,F1,4.0,3.0,2.0,1.0
PIMA (3),DT,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
PIMA (3),GBC,ROC AUC,3.0,4.0,2.0,1.0
PIMA (3),GBC,F1,4.0,3.0,2.0,1.0
PIMA (3),GBC,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
LIVER (2),LR,ROC AUC,3.5,1.0,2.0,3.5
LIVER (2),LR,F1,4.0,1.0,2.0,3.0
LIVER (2),LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
LIVER (2),KNN,ROC AUC,3.0,4.0,2.0,1.0
LIVER (2),KNN,F1,4.0,3.0,2.0,1.0
LIVER (2),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
LIVER (2),DT,ROC AUC,4.0,3.0,2.0,1.0
LIVER (2),DT,F1,4.0,2.0,3.0,1.0
LIVER (2),DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
LIVER (2),GBC,ROC AUC,4.0,2.0,3.0,1.0
LIVER (2),GBC,F1,4.0,3.0,2.0,1.0
LIVER (2),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
MANDELON 2 (2),LR,ROC AUC,2.0,3.0,4.0,1.0
MANDELON 2 (2),LR,F1,4.0,3.0,2.0,1.0
MANDELON 2 (2),LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
MANDELON 2 (2),KNN,ROC AUC,3.0,4.0,2.0,1.0
MANDELON 2 (2),KNN,F1,4.0,3.0,2.0,1.0
MANDELON 2 (2),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
MANDELON 2 (2),DT,ROC AUC,4.0,1.0,3.0,2.0
MANDELON 2 (2),DT,F1,1.0,4.0,3.0,2.0
MANDELON 2 (2),DT,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
MANDELON 2 (2),GBC,ROC AUC,4.0,3.0,2.0,1.0
MANDELON 2 (2),GBC,F1,4.0,2.0,1.0,3.0
MANDELON 2 (2),GBC,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
LED (2),LR,ROC AUC,2.0,3.0,4.0,1.0
LED (2),LR,F1,4.0,3.0,2.0,1.0
LED (2),LR,GEOMETRIC MEAN SCORE,4.0,1.0,3.0,2.0
LED (2),KNN,ROC AUC,4.0,2.0,3.0,1.0
LED (2),KNN,F1,4.0,3.0,2.0,1.0
LED (2),KNN,GEOMETRIC MEAN SCORE,4.0,1.0,3.0,2.0
LED (2),DT,ROC AUC,2.0,4.0,3.0,1.0
LED (2),DT,F1,2.5,4.0,1.0,2.5
LED (2),DT,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
LED (2),GBC,ROC AUC,4.0,3.0,2.0,1.0
LED (2),GBC,F1,2.0,4.0,2.0,2.0
LED (2),GBC,GEOMETRIC MEAN SCORE,2.0,4.0,2.0,2.0
MANDELON 1,LR,ROC AUC,1.5,4.0,3.0,1.5
MANDELON 1,LR,F1,4.0,3.0,2.0,1.0
MANDELON 1,LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
MANDELON 1,KNN,ROC AUC,4.0,3.0,1.0,2.0
MANDELON 1,KNN,F1,4.0,2.0,3.0,1.0
MANDELON 1,KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
MANDELON 1,DT,ROC AUC,4.0,3.0,1.0,2.0
MANDELON 1,DT,F1,1.0,4.0,3.0,2.0
MANDELON 1,DT,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
MANDELON 1,GBC,ROC AUC,2.0,4.0,3.0,1.0
MANDELON 1,GBC,F1,3.0,2.0,4.0,1.0
MANDELON 1,GBC,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
PIMA,LR,ROC AUC,3.0,1.0,2.0,4.0
PIMA,LR,F1,4.0,1.0,2.0,3.0
PIMA,LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
PIMA,KNN,ROC AUC,2.0,4.0,3.0,1.0
PIMA,KNN,F1,4.0,3.0,1.0,2.0
PIMA,KNN,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
PIMA,DT,ROC AUC,4.0,2.0,3.0,1.0
PIMA,DT,F1,4.0,2.0,1.0,3.0
PIMA,DT,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
PIMA,GBC,ROC AUC,2.0,4.0,3.0,1.0
PIMA,GBC,F1,4.0,3.0,2.0,1.0
PIMA,GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
PAGE BLOCKS 0,LR,ROC AUC,4.0,1.0,2.0,3.0
PAGE BLOCKS 0,LR,F1,2.0,4.0,3.0,1.0
PAGE BLOCKS 0,LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
PAGE BLOCKS 0,KNN,ROC AUC,3.0,4.0,1.0,2.0
PAGE BLOCKS 0,KNN,F1,3.0,2.0,4.0,1.0
PAGE BLOCKS 0,KNN,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
PAGE BLOCKS 0,DT,ROC AUC,4.0,3.0,1.0,2.0
PAGE BLOCKS 0,DT,F1,1.0,4.0,3.0,2.0
PAGE BLOCKS 0,DT,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
PAGE BLOCKS 0,GBC,ROC AUC,3.0,4.0,1.0,2.0
PAGE BLOCKS 0,GBC,F1,2.0,4.0,3.0,1.0
PAGE BLOCKS 0,GBC,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
YEAST 1 (3),LR,ROC AUC,4.0,3.0,2.0,1.0
YEAST 1 (3),LR,F1,4.0,2.0,3.0,1.0
YEAST 1 (3),LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
YEAST 1 (3),KNN,ROC AUC,4.0,3.0,2.0,1.0
YEAST 1 (3),KNN,F1,4.0,3.0,2.0,1.0
YEAST 1 (3),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
YEAST 1 (3),DT,ROC AUC,4.0,2.0,1.0,3.0
YEAST 1 (3),DT,F1,4.0,3.0,1.0,2.0
YEAST 1 (3),DT,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
YEAST 1 (3),GBC,ROC AUC,3.0,4.0,2.0,1.0
YEAST 1 (3),GBC,F1,4.0,3.0,2.0,1.0
YEAST 1 (3),GBC,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
