Ratio,Classifier,Metric,NONE,RANDOM,SMOTE,B-SMOTE,G-SMOTESD,BENCHMARK
50,LR,ACCURACY,0.91 $\pm$ 0.03,0.91 $\pm$ 0.03,0.91 $\pm$ 0.02,0.91 $\pm$ 0.03,\textbf{0.92} $\pm$ 0.02,0.92 $\pm$ 0.02
50,LR,G-MEAN,0.88 $\pm$ 0.04,0.88 $\pm$ 0.04,\textbf{0.89} $\pm$ 0.04,\textbf{0.89} $\pm$ 0.04,\textbf{0.89} $\pm$ 0.04,0.90 $\pm$ 0.04
50,KNN,ACCURACY,0.88 $\pm$ 0.03,0.88 $\pm$ 0.03,\textbf{0.89} $\pm$ 0.03,0.88 $\pm$ 0.03,\textbf{0.89} $\pm$ 0.03,0.90 $\pm$ 0.03
50,KNN,G-MEAN,0.84 $\pm$ 0.04,0.85 $\pm$ 0.04,\textbf{0.86} $\pm$ 0.04,0.85 $\pm$ 0.04,\textbf{0.86} $\pm$ 0.04,0.87 $\pm$ 0.04
50,DT,ACCURACY,0.88 $\pm$ 0.04,0.88 $\pm$ 0.04,0.88 $\pm$ 0.04,0.88 $\pm$ 0.04,\textbf{0.90} $\pm$ 0.03,0.90 $\pm$ 0.03
50,DT,G-MEAN,0.86 $\pm$ 0.05,0.86 $\pm$ 0.05,0.87 $\pm$ 0.05,0.87 $\pm$ 0.05,\textbf{0.89} $\pm$ 0.04,0.89 $\pm$ 0.03
50,GBC,ACCURACY,0.91 $\pm$ 0.04,0.92 $\pm$ 0.03,0.92 $\pm$ 0.03,0.91 $\pm$ 0.04,\textbf{0.93} $\pm$ 0.03,0.94 $\pm$ 0.02
50,GBC,G-MEAN,0.90 $\pm$ 0.04,0.90 $\pm$ 0.04,0.91 $\pm$ 0.03,0.90 $\pm$ 0.04,\textbf{0.92} $\pm$ 0.03,0.93 $\pm$ 0.03
75,LR,ACCURACY,\textbf{0.90} $\pm$ 0.03,0.89 $\pm$ 0.03,0.89 $\pm$ 0.03,0.89 $\pm$ 0.03,\textbf{0.90} $\pm$ 0.03,0.92 $\pm$ 0.02
75,LR,G-MEAN,0.86 $\pm$ 0.05,0.86 $\pm$ 0.05,\textbf{0.87} $\pm$ 0.04,\textbf{0.87} $\pm$ 0.04,\textbf{0.87} $\pm$ 0.04,0.90 $\pm$ 0.04
75,KNN,ACCURACY,0.86 $\pm$ 0.04,0.86 $\pm$ 0.04,\textbf{0.87} $\pm$ 0.04,0.85 $\pm$ 0.04,\textbf{0.87} $\pm$ 0.04,0.90 $\pm$ 0.03
75,KNN,G-MEAN,0.80 $\pm$ 0.06,0.82 $\pm$ 0.05,\textbf{0.84} $\pm$ 0.04,0.83 $\pm$ 0.05,\textbf{0.84} $\pm$ 0.04,0.87 $\pm$ 0.04
75,DT,ACCURACY,0.86 $\pm$ 0.05,0.86 $\pm$ 0.05,0.86 $\pm$ 0.05,0.85 $\pm$ 0.06,\textbf{0.89} $\pm$ 0.04,0.90 $\pm$ 0.03
75,DT,G-MEAN,0.83 $\pm$ 0.06,0.84 $\pm$ 0.05,0.84 $\pm$ 0.06,0.83 $\pm$ 0.06,\textbf{0.86} $\pm$ 0.05,0.89 $\pm$ 0.03
75,GBC,ACCURACY,0.87 $\pm$ 0.05,0.88 $\pm$ 0.05,0.88 $\pm$ 0.05,0.88 $\pm$ 0.05,\textbf{0.90} $\pm$ 0.04,0.94 $\pm$ 0.02
75,GBC,G-MEAN,0.85 $\pm$ 0.06,0.85 $\pm$ 0.06,0.86 $\pm$ 0.05,0.85 $\pm$ 0.06,\textbf{0.89} $\pm$ 0.04,0.93 $\pm$ 0.03
90,LR,ACCURACY,0.86 $\pm$ 0.04,0.86 $\pm$ 0.04,0.86 $\pm$ 0.04,0.85 $\pm$ 0.04,\textbf{0.87} $\pm$ 0.04,0.92 $\pm$ 0.02
90,LR,G-MEAN,0.81 $\pm$ 0.06,0.82 $\pm$ 0.06,0.82 $\pm$ 0.06,0.82 $\pm$ 0.05,\textbf{0.83} $\pm$ 0.06,0.90 $\pm$ 0.04
90,KNN,ACCURACY,0.81 $\pm$ 0.05,0.82 $\pm$ 0.05,0.82 $\pm$ 0.05,0.81 $\pm$ 0.05,\textbf{0.83} $\pm$ 0.05,0.90 $\pm$ 0.03
90,KNN,G-MEAN,0.69 $\pm$ 0.10,0.76 $\pm$ 0.07,\textbf{0.78} $\pm$ 0.06,0.74 $\pm$ 0.09,\textbf{0.78} $\pm$ 0.06,0.87 $\pm$ 0.04
90,DT,ACCURACY,0.84 $\pm$ 0.05,0.83 $\pm$ 0.05,0.83 $\pm$ 0.06,0.83 $\pm$ 0.05,\textbf{0.87} $\pm$ 0.04,0.90 $\pm$ 0.03
90,DT,G-MEAN,0.81 $\pm$ 0.06,0.81 $\pm$ 0.06,0.80 $\pm$ 0.06,0.80 $\pm$ 0.06,\textbf{0.84} $\pm$ 0.05,0.89 $\pm$ 0.03
90,GBC,ACCURACY,0.84 $\pm$ 0.06,0.84 $\pm$ 0.06,0.84 $\pm$ 0.06,0.84 $\pm$ 0.05,\textbf{0.88} $\pm$ 0.04,0.94 $\pm$ 0.02
90,GBC,G-MEAN,0.82 $\pm$ 0.06,0.81 $\pm$ 0.06,0.81 $\pm$ 0.07,0.81 $\pm$ 0.06,\textbf{0.86} $\pm$ 0.05,0.93 $\pm$ 0.03
95,LR,ACCURACY,0.83 $\pm$ 0.05,0.83 $\pm$ 0.05,0.83 $\pm$ 0.05,0.83 $\pm$ 0.04,\textbf{0.84} $\pm$ 0.05,0.92 $\pm$ 0.02
95,LR,G-MEAN,0.75 $\pm$ 0.08,0.76 $\pm$ 0.07,0.76 $\pm$ 0.07,\textbf{0.77} $\pm$ 0.07,0.76 $\pm$ 0.08,0.90 $\pm$ 0.04
95,KNN,ACCURACY,0.79 $\pm$ 0.05,0.79 $\pm$ 0.05,\textbf{0.81} $\pm$ 0.05,0.79 $\pm$ 0.05,\textbf{0.81} $\pm$ 0.05,0.90 $\pm$ 0.03
95,KNN,G-MEAN,0.60 $\pm$ 0.13,0.69 $\pm$ 0.09,0.71 $\pm$ 0.09,\textbf{0.74} $\pm$ 0.06,0.73 $\pm$ 0.07,0.87 $\pm$ 0.04
95,DT,ACCURACY,0.81 $\pm$ 0.05,0.81 $\pm$ 0.05,0.82 $\pm$ 0.05,0.81 $\pm$ 0.05,\textbf{0.85} $\pm$ 0.05,0.90 $\pm$ 0.03
95,DT,G-MEAN,0.77 $\pm$ 0.06,0.78 $\pm$ 0.06,0.78 $\pm$ 0.06,0.78 $\pm$ 0.06,\textbf{0.81} $\pm$ 0.06,0.89 $\pm$ 0.03
95,GBC,ACCURACY,0.82 $\pm$ 0.05,0.83 $\pm$ 0.05,0.83 $\pm$ 0.05,0.82 $\pm$ 0.05,\textbf{0.85} $\pm$ 0.05,0.94 $\pm$ 0.02
95,GBC,G-MEAN,0.77 $\pm$ 0.07,0.78 $\pm$ 0.07,0.78 $\pm$ 0.07,0.78 $\pm$ 0.07,\textbf{0.81} $\pm$ 0.07,0.93 $\pm$ 0.03
